경도,위도,설치기관명,설치위치
127.0317993,37.47504029,양재우성아파트,정문
126.9556111,37.57460779,서대문형무소역사관,12옥사안
126.9153675,37.45251781,탑동초등학교,보건실
127.0981404,37.51131078,롯데월드매직아일랜드,롯데월드 매직아일랜드 의무실 복도
126.818434,37.56469532,마곡힐스테이트,헬스장
127.0003985,37.57791378,마곡힐스테이트,장례식장 1층 안내옆
127.0200631,37.55453303,5호선신금호역,지하2층 대합실
126.8959537,37.50076623,신영초등학교,중앙현관
127.0960155,37.60419811,원광장애인종합복지관,중앙로비 정면벽
127.0989769,37.609769,신내데시앙아파트,관리사무소내 출입구 우측 노란색 보관함
127.0077019,37.61514249,정릉힐스테이트3차아파트,관리사무소
126.9122281,37.51995776,굿네이버스,1층 로비
127.0808681,37.58794477,면목2동체육관,4층 헬스장 입구
127.0059171,37.5680153,국립중앙의료원,장례식장
127.0617463,37.58709497,휘경중학교,보건소 입구
127.0243533,37.57840861,대광중학교,1층 교무실
126.8730263,37.4927262,구일초등학교,중앙현관
127.0337802,37.61612179,송중동주민센터,1층 민원실 우측 벽면
127.036734,37.61571366,미아한일유앤아이아파트,관리사무소입구
127.0097063,37.63291485,화계중학교,체육관동 3층 보건실 내
127.0278299,37.61360643,영훈고등학교,본관 중앙현관 입구
127.1220365,37.53020349,성내1동주민센터,성내1동주민센터
126.858275,37.50646295,고척지구대,1층 지구대장 자리
126.8386394,37.49153816,오류영풍마드레빌아파트,정문 경비실
126.8877422,37.50942052,홈플러스신도림점,지하1층 고객센터
